delay,freq,condition,Response,,,,
0.7,400,unexp,800,,,,
0.1,400,unexp,350,,,,
0.4,400,unexp,400,,avg of unexpected,,363.3333333
0.1,400,unexp,200,,avg of expected,,318.1111111
0.4,400,unexp,400,,,,
0.7,400,unexp,700,,,,
0.4,400,unexp,300,,,,
0.7,400,unexp,150,,,,
0.1,400,unexp,100,,,,
0.7,400,unexp,750,,,,
0.1,400,unexp,400,,,,
0.4,400,unexp,100,,,,
0.1,400,unexp,100,,,,
0.7,400,unexp,400,,,,
0.4,400,unexp,300,,,,
0.1,1000,exp,400,,,,
0.1,1000,exp,300,,,,
0.7,1000,exp,850,,,,
0.4,1000,exp,500,,,,
0.4,1000,exp,250,,,,
0.1,1000,exp,100,,,,
0.7,1000,exp,675,,,,
0.7,1000,exp,550,,,,
0.4,1000,exp,350,,,,
0.4,1000,exp,450,,,,
0.4,1000,exp,300,,,,
0.7,1000,exp,470,,,,
0.7,1000,exp,600,,,,
0.4,1000,exp,500,,,,
0.1,1000,exp,450,,,,
0.7,1000,exp,670,,,,
0.1,1000,exp,150,,,,
0.1,1000,exp,100,,,,
0.4,1000,exp,350,,,,
0.4,1000,exp,300,,,,
0.1,1000,exp,100,,,,
0.7,1000,exp,200,,,,
0.1,1000,exp,250,,,,
0.4,1000,exp,250,,,,
0.7,1000,exp,400,,,,
0.7,1000,exp,100,,,,
0.1,1000,exp,150,,,,
0.1,1000,exp,100,,,,
0.1,1000,exp,150,,,,
0.1,1000,exp,200,,,,
0.7,1000,exp,450,,,,
0.4,1000,exp,200,,,,
0.7,1000,exp,250,,,,
0.4,1000,exp,350,,,,
0.7,1000,exp,300,,,,
0.4,1000,exp,200,,,,
0.1,1000,exp,200,,,,
0.4,1000,exp,250,,,,
0.7,1000,exp,300,,,,
0.7,1000,exp,450,,,,
0.7,1000,exp,600,,,,
0.4,1000,exp,100,,,,
0.4,1000,exp,200,,,,
0.1,1000,exp,100,,,,
0.1,1000,exp,150,,,,
